index,acc_x_n,acc_y_n,acc_z_n,gyr_x_n,gyr_y_n,gyr_z_n,mag_x_n,mag_y_n,mag_z_n,acc_x_r,acc_y_r,acc_z_r,gyr_x_r,gyr_y_r,gyr_z_r,mag_x_r,mag_y_r,mag_z_r,q1n,q2n,q3n,q4n,q1r,q2r,q3r,q4r
1907,-0.770751953,0.221679688,-0.458740234,3.465837843,1.98831607,-3.197923837,1358,-4781,-10795,-0.985107422,-0.326171875,-0.223876953,0.038882152,1.905225444,-1.053546527,-6717,2156,3984,0.008396286,-0.332377032,0.019946891,0.942898262,0.724301872,0.410539582,0.48583246,-0.266103119
1908,-0.729248047,0.187988281,-0.520507813,3.399791448,1.557416606,-2.71589168,1489,-5031,-10928,-0.776367188,-0.261962891,-0.011962891,0.071905349,0.935302175,0.130494893,-6731,2149,3754,0.080718771,-0.366537563,0.067867495,0.924407215,0.714010535,0.416156903,0.499885954,-0.259068369
1909,-0.775878906,0.208984375,-0.552978516,3.051449977,-0.618386005,-2.162486805,1489,-5031,-10928,-0.724365234,-0.155029297,0.082275391,2.097505674,-0.13688648,0.82131888,-6731,2149,3754,0.142880219,-0.357710787,0.109479583,0.916320062,0.700775932,0.45153101,0.481244436,-0.270991944
1910,-0.827148438,0.226806641,-0.584472656,2.106560422,-0.142212802,-0.892158965,1609,-5242,-11120,-0.843017578,-0.26953125,-0.101806641,3.375290365,-1.309209992,0.769653555,-6792,2251,3906,0.17381863,-0.356043063,0.143712055,0.906844676,0.683545625,0.496608377,0.439047092,-0.305586566
1911,-0.8203125,0.247558594,-0.579589844,1.413605906,-1.249555184,0.664192376,1609,-5242,-11120,-0.851806641,-0.235107422,-0.144775391,2.052231936,-1.430650137,0.333427768,-6792,2251,3906,0.174828378,-0.331648146,0.172401915,0.910890841,0.675038182,0.517395678,0.405875853,-0.334499562
1912,-1.21484375,0.225341797,-0.656982422,1.432780667,0.195476024,2.226402672,1567,-5405,-11092,-0.915039063,-0.146972656,0.029296875,0.986434868,-1.107875014,-0.157659137,-6774,2264,4120,0.143058837,-0.327250173,0.215597153,0.908823064,0.671262433,0.520750234,0.387841218,-0.357498433
1913,-1.118652344,0.209960938,-0.712890625,1.291633129,0.539023805,2.236522683,1567,-5405,-11092,-0.969970703,-0.132080078,0.037597656,2.158225747,-0.520381677,-0.426105774,-6774,2264,4120,0.108878093,-0.328524037,0.256833089,0.902360395,0.647930721,0.541198602,0.371419758,-0.386441739
1914,-0.928710938,0.079345703,-0.595703125,1.982989748,-2.18272683,2.044775085,1525,-5643,-11103,-0.870605469,-0.191894531,-0.011230469,2.159823644,-0.714792437,-0.142745434,-6761,2337,4344,0.097079516,-0.279340496,0.302283981,0.906183673,0.626602885,0.56112943,0.348946691,-0.41320551
1915,-0.741455078,-0.061279297,-0.459228516,2.637062111,-2.196042635,0.865527354,1525,-5643,-11103,-0.871337891,-0.181396484,-0.020263672,0.257793994,-1.554753445,0.831971524,-6761,2337,4344,0.110884594,-0.234789618,0.351174531,0.899585955,0.639391615,0.556265614,0.320337473,-0.423238506
1916,-0.76171875,-0.109130859,-0.513916016,3.69806549,0.5571333,-1.315068946,1434,-5954,-10996,-0.941894531,-0.177246094,0.003662109,-1.02531702,-1.245826758,0.838895743,-6761,2439,4556,0.149412411,-0.250877512,0.412959559,0.862670742,0.663826639,0.536987305,0.30622404,-0.420958034
